index;language;Wikiann;script;Member in European Sprachbund;1;2;3;4;5;6;7;8;9;10;11;12
0;Fr;fr;Latin;TRUE;1;1;1;1;1;1;1;1;1;1;1;1
1;Grm;de;Latin;TRUE;1;1;1;1;1;1;1;1;0;1;1;1
2;Dut;nl;Latin;TRUE;1;1;1;1;1;0;1;1;1;1;1;0
3;Eng;en;Latin;TRUE;1;1;1;1;1;1;0;1;1;1;1;0
4;Grk;el;Greek;TRUE;1;1;1;1;1;1;1;0;1;1;0;1
5;Spn;es;Latin;TRUE;1;1;1;1;1;0;1;1;0;1;0;1
6;Prt;pt;Latin;TRUE;1;1;1;1;1;0;1;1;0;1;0;1
7;It;it;Latin;TRUE;1;1;1;1;1;0;1;1;0;1;0;1
8;Alb;sq;Latin;TRUE;1;1;1;0;1;0;1;1;1;1;0;1
9;Srd;sc;;TRUE;1;1;1;0;1;0;1;1;0;1;0;1
10;Rom;ro;Latin;TRUE;1;1;1;0;1;1;1;0;0;1;0;1
11;Rus;ru;Cyrillic;TRUE;0;1;0;0;1;1;1;0;1;1;1;1
12;Nor;no;Latin;TRUE;1;1;1;1;1;0;0;1;0;0;0;1
13;Swd;sv;Latin;TRUE;1;1;1;1;1;0;0;1;0;0;0;1
14;Hng;hu;Latin;TRUE;1;1;0;1;1;0;1;0;1;1;0;0
15;Cz;cs;Latin;TRUE;0;1;1;1;1;0;1;0;0;1;0;1
16;Ice;is;Latin;TRUE;0;1;1;0;1;0;0;1;0;0;1;1
17;Ltv;lv;Latin;TRUE;0;1;0;0;1;0;1;0;1;1;0;1
18;Lit;lt;Latin;TRUE;0;1;0;0;1;1;1;0;0;1;0;1
19;SCr;sr;Latin;TRUE;0;1;0;1;1;0;1;0;0;1;0;1
20;Blg;bg;Cyrillic;TRUE;0;1;0;1;1;0;1;0;0;1;0;1
21;Pol;pl;Latin;TRUE;0;1;0;0;1;0;1;0;0;1;0;1
22;Sln;sl;Latin;TRUE;0;1;0;0;1;0;1;0;0;1;0;1
23;Ukr;uk;Cyrillic;TRUE;0;1;0;0;1;0;1;0;0;1;0;1
24;Bsq;eu;Latin;FALSE;0;0;0;1;0;0;1;0;1;0;0;1
25;Brt;br;Latin;FALSE;1;0;0;1;1;0;0;0;0;0;0;0
26;Fin;fi;Latin;FALSE;0;1;0;0;0;0;1;0;1;0;0;0
27;Mlt;mt;Latin;FALSE;0;0;0;1;1;0;1;0;0;0;0;0
28;Grg;ka;Georgian;FALSE;0;1;0;0;0;0;0;1;0;0;0;0
29;Ir;ga;Latin;FALSE;0;0;0;0;1;0;0;0;0;0;0;0
30;Wel;cy;Latin;FALSE;0;0;0;0;0;0;0;0;0;0;1;0
31;Est;et;Latin;FALSE;0;1;0;0;0;0;0;0;0;0;0;0
32;Arm;hy;Armenian;FALSE;0;1;0;0;0;0;0;0;0;0;0;0
33;Trk;tr;Arabic;FALSE;0;0;0;1;0;0;0;0;0;0;0;0
34;Gae;gd;Latin;FALSE;0;0;0;0;0;0;0;0;1;0;0;0
35;Kom;kv;Old Permic alphabet;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
36;Udm;udm;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
37;Tat;tt;Arabic;FALSE;0;0;0;0;0;0;0;0;0;0;0;0