FEATURE,desc,k (KNN search),TRUE - Experiment group,FALSE - Experiment group,Evaluation 1,True no eval,Fine-Tune 1.1,Fine-Tune 1.2 true,Fine-Tune 1.2 false,Evaluation 2,Fine-Tune 2.1,Fine-Tune 2.2 true,Fine-Tune 2.2 false,,
Feature 1,Definite and indefinite articles,15,es,pl,es,ro,pl,ro,pl,ro,pl,pl,,,fine truning true is TRUE languages without evaluation languages
Feature 1,,,pt,sl,pt,sq,sl,sq,sl,sq,sl,sl,,,
Feature 1,,,it,uk,it,hu,uk,hu,uk,hu,uk,uk,,,
Feature 1,,,ro,lv,,,lv,,lv,,lv,lv,,,
Feature 1,,,sq,lt,,,lt,,lt,,lt,lt,,,
Feature 1,,,hu,sr,,,sr,,sr,,sr,sr,,,
Feature 1,,,,bg,,,bg,,bg,,bg,bg,,,
Feature 1,,,,,,,,,,,,es,,,
Feature 1,,,,,,,,,,,,pt,,,
Feature 1,,,,,,,,,,,,it,,,
Feature 2,Relative clauses with relative pronouns,25,pl,eu,pl,lv,eu,eu,,lv,eu,eu,,,
Feature 2,,comment: weak experiment,sl,tt,sl,lt,tt,tt,,lt,tt,tt,,,
Feature 2,,,uk,br,uk,sr,br,br,,sr,br,br,,,
Feature 2,,,lv,cy,,bg,cy,cy,,bg,cy,cy,,,
Feature 2,,,lt,tr,,,tr,tr,,,tr,tr,,,
Feature 2,,,sr,,,,,lv,,,,pl,,,
Feature 2,,,bg,,,,,lt,,,,sl,,,
Feature 2,,,,,,,,sr,,,,uk,,,
Feature 2,,,,,,,,bg,,,,,,,
Feature 3,Have'-perfect,15,es,pl,es,cs,pl,pl,,cs,pl,pl,,,
Feature 3,,,pt,sl,pt,ro,sl,sl,,ro,sl,sl,,,
Feature 3,,,it,uk,it,sq,uk,uk,,sq,uk,uk,,,
Feature 3,,,cs,lv,,,lv,lv,,,lv,lv,,,
Feature 3,,,ro,lt,,,lt,lt,,,lt,lt,,,
Feature 3,,,sq,sr,,,sr,sr,,,sr,sr,,,
Feature 3,,,,bg,,,bg,bg,,,bg,bg,,,
Feature 3,,,,,,,,cs,,,,es,,,
Feature 3,,,,,,,,ro,,,,pt,,,
Feature 3,,,,,,,,sq,,,,it,,,
Feature 4,Nominative experiencers,15,pt,lt,pt,cs,lt,lt,,cs,lt,lt,,,
Feature 4,,,it,pl,it,sr,pl,pl,,sr,pl,pl,,,
Feature 4,,,cs,sl,,bg,sl,sl,,bg,sl,sl,,,
Feature 4,,,sr,uk,,,uk,uk,,,uk,uk,,,
Feature 4,,,bg,,,,,cs,,,,pt,,,
Feature 4,,,,,,,,sr,,,,it,,,
Feature 4,,,,,,,,bg,,,,,,,
Feature 5,Participal passive,20,pl,fi,pl,lv,fi,fi,,lv,fi,fi,,,
Feature 5,,comment: weak experiment,sl,et,sl,lt,et,et,,lt,et,et,,,
Feature 5,,,uk,hy,uk,sr,hy,hy,,sr,hy,hy,,,
Feature 5,,,lv,eu,,bg,eu,eu,,bg,eu,eu,,,
Feature 5,,,lt,ka,,,ka,ka,,,ka,ka,,,
Feature 5,,,sr,,,,,lv,,,,pl,,,
Feature 5,,,bg,,,,,lt,,,,sl,,,
Feature 5,,,,,,,,sr,,,,uk,,,
Feature 5,,,,,,,,bg,,,,,,,
Feature 6,Anticausative,15,ro,pl,ro,ru,pl,pl,,ru,pl,pl,,,
Feature 6,,,lt,sl,lt,el,sl,sl,,el,sl,sl,,,
Feature 6,,,ru,uk,,,uk,uk,,,uk,uk,,,
Feature 6,,,el,lv,,,lv,lv,,,lv,lv,,,
Feature 6,,,,sr,,,sr,sr,,,sr,sr,,,
Feature 6,,,,bg,,,bg,bg,,,bg,bg,,,
Feature 6,,,,,,,,ru,,,,ro,,,
Feature 6,,,,,,,,el,,,,lt,,,
Feature 7,Dative external possessors,20,pl,et,pl,lv,et,et,,lv,et,et,,,
Feature 7,,comment: weak experiment,sl,hy,sl,lt,hy,hy,,lt,hy,hy,,,
Feature 7,,comment: lack of false alternatives,uk,ka,uk,sr,ka,ka,,sr,ka,ka,,,
Feature 7,,,lv,tt,,bg,tt,tt,,bg,tt,tt,,,
Feature 7,,,lt,,,,,lv,,,,pl,,,
Feature 7,,,sr,,,,,lt,,,,sl,,,
Feature 7,,,bg,,,,,sr,,,,uk,,,
Feature 7,,,,,,,,bg,,,,,,,
Feature 8 ,Negative pronouns and lack of verbal negations,15,es,cs,es,de,cs,cs,,de,cs,cs,,,
Feature 8 ,,,pt,el,pt,sq,el,el,,sq,el,el,,,
Feature 8,,,it,ro,it,no,ro,ro,,no,ro,ro,,,
Feature 8,,,de,sr,,sv,sr,sr,,sv,sr,sr,,,
Feature 8,,,sq,bg,,,bg,bg,,,bg,bg,,,
Feature 8,,,no,hu,,,hu,hu,,,hu,hu,,,
Feature 8,,,sv,,,,,de,,,,es,,,
Feature 8,,,,,,,,sq,,,,pt,,,
Feature 8,,,,,,,,no,,,,it,,,
Feature 8,,,,,,,,sv,,,,,,,
Feature 9,Particles in comparative constructions,15,lv,pl,lv,hu,pl,pl,,hu,pl,pl,,,
Feature 9,,,ru,sl,ru,fi,sl,sl,,fi,sl,sl,,,
Feature 9,,,sq,uk,sq,el,uk,uk,,el,uk,uk,,,
Feature 9,,,hu,lt,,,lt,lt,,,lt,lt,,,
Feature 9,,,fi,sr,,,sr,sr,,,sr,sr,,,
Feature 9,,,el,bg,,,bg,bg,,,bg,bg,,,
Feature 9,,,,,,,,hu,,,,lv,,,
Feature 9,,,,,,,,fi,,,,ru,,,
Feature 9,,,,,,,,el,,,,sq,,,
Feature 10,Relative-based equative constructions,20,pl,fi,pl,lv,fi,fi,,lv,fi,fi,,,
Feature 10,,"comment: weak experiment, true group languages are very similar (geographical, script, typological distance)",sl,et,sl,lt,et,et,,lt,et,et,,,
Feature 10,,comment: definitly second experiment,uk,hy,uk,sr,hy,hy,,sr,hy,hy,,,
Feature 10,,,lv,eu,,bg,eu,eu,,bg,eu,eu,,,
Feature 10,,,lt,ka,,,ka,ka,,,ka,ka,,,
Feature 10,,,sr,,,,,lv,,,,pl,,,
Feature 10,,,bg,,,,,lt,,,,sl,,,
Feature 10,,,,,,,,sr,,,,uk,,,
Feature 10,,,,,,,,bg,,,,,,,
Feature 11,Subject person affixes as strict agreement markers,20,de,es,de,nl,es,es,,nl,es,es,,,
Feature 11,,comment: weak experiment,fr,pt,fr,en,pt,pt,,en,pt,pt,,,
Feature 11,,comment: definitly second experiment with change of true groups in eval/fine-tuning- have very similar distances,nl,it,,,it,it,,,it,it,,,
Feature 11,,,en,sq,,,sq,sq,,,sq,sq,,,
Feature 11,,,,no,,,no,no,,,no,no,,,
Feature 11,,,,sv,,,sv,sv,,,sv,sv,,,
Feature 11,,,,cs,,,cs,cs,,,cs,cs,,,
Feature 11,,,,,,,,nl,,,,de,,,
Feature 11,,,,,,,,en,,,,fr,,,
Feature 12,Intensifier-reflexsive differentiation,15,pl,hu,pl,lv,hu,hu,,lv,hu,hu,,,
Feature 12,,comment: definitly second experiment with change of true groups in eval/fine-tuning- have very similar distances,sl,fi,sl,lt,fi,fi,,lt,fi,fi,,,
Feature 12,,,uk,et,uk,sr,et,et,,sr,et,et,,,
Feature 12,,,lv,hy,,bg,hy,hy,,bg,hy,hy,,,
Feature 12,,,lt,,,,,lv,,,,pl,,,
Feature 12,,,sr,,,,,lt,,,,sl,,,
Feature 12,,,bg,,,,,sr,,,,uk,,,
Feature 12,,,,,,,,bg,,,,,,,
Feature 13,Testing for word order,FALSE = NA,ru,fr,pl,ru,fr,fr,,ru,fr,fr,,,
Feature 13,,TRUE = AN,hu,es,uk,hu,es,es,,hu,es,es,,,
Feature 13,,,cs,pt,fi,cs,pt,pt,,cs,pt,pt,,,
Feature 13,,,lt,it,et,lt,it,it,,lt,it,it,,,
Feature 13,,,bg,sq,,bg,sq,sq,,bg,sq,sq,,,
Feature 13,,,pl,ro,,,ro,ro,,,ro,ro,,,
Feature 13,,,uk,eu,,,eu,eu,,,eu,eu,,,
Feature 13,,,fi,br,,,br,br,,,br,br,,,
Feature 13,,,et,cy,,,cy,cy,,,cy,cy,,,
Feature 13,,,,,,,,ru,,,,pl,,,
Feature 13,,,,,,,,hu,,,,uk,,,
Feature 13,,,,,,,,cs,,,,fi,,,
Feature 13,,,,,,,,lt,,,,et,,,
Feature 13,,,,,,,,bg,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,dataset true (but without eval),,,,,,,,,,,,
,,,dataset false,,,,,,,,,,,,